algos	cor	nalgo
AliGebily:Ardavel:balajipro:benchmark	0.582165531178017	4
AliGebily:Ardavel:balajipro:gardn999	0.591846651077765	4
AliGebily:Ardavel:balajipro:LastEmperor	0.582982563495835	4
AliGebily:Ardavel:balajipro:mkagenius	0.581933309304488	4
AliGebily:Ardavel:balajipro:mvaudel	0.580104687095075	4
AliGebily:Ardavel:balajipro:Ramzes2	0.588361648821345	4
AliGebily:Ardavel:balajipro:vladaburian	0.581405469236186	4
AliGebily:Ardavel:benchmark:gardn999	0.587342803889515	4
AliGebily:Ardavel:benchmark:LastEmperor	0.581556261441809	4
AliGebily:Ardavel:benchmark:mkagenius	0.578972451750223	4
AliGebily:Ardavel:benchmark:mvaudel	0.577158046315721	4
AliGebily:Ardavel:benchmark:Ramzes2	0.584911272023992	4
AliGebily:Ardavel:benchmark:vladaburian	0.579634050643633	4
AliGebily:Ardavel:gardn999:LastEmperor	0.592897454885405	4
AliGebily:Ardavel:gardn999:mkagenius	0.58954841680615	4
AliGebily:Ardavel:gardn999:mvaudel	0.589283542989227	4
AliGebily:Ardavel:gardn999:Ramzes2	0.594127900390412	4
AliGebily:Ardavel:gardn999:vladaburian	0.592143140705907	4
AliGebily:Ardavel:LastEmperor:mkagenius	0.582300748335007	4
AliGebily:Ardavel:LastEmperor:mvaudel	0.58139472738039	4
AliGebily:Ardavel:LastEmperor:Ramzes2	0.589356032209012	4
AliGebily:Ardavel:LastEmperor:vladaburian	0.583893087002952	4
AliGebily:Ardavel:mkagenius:mvaudel	0.58033130386315	4
AliGebily:Ardavel:mkagenius:Ramzes2	0.586337456512373	4
AliGebily:Ardavel:mkagenius:vladaburian	0.583403678204103	4
AliGebily:Ardavel:mvaudel:Ramzes2	0.586548740591674	4
AliGebily:Ardavel:mvaudel:vladaburian	0.581724072729478	4
AliGebily:Ardavel:Ramzes2:vladaburian	0.58702671875497	4
AliGebily:balajipro:benchmark:gardn999	0.584333005328685	4
AliGebily:balajipro:benchmark:LastEmperor	0.57617988493991	4
AliGebily:balajipro:benchmark:mkagenius	0.577215168269064	4
AliGebily:balajipro:benchmark:mvaudel	0.5740968502154	4
AliGebily:balajipro:benchmark:Ramzes2	0.584090670218507	4
AliGebily:balajipro:benchmark:vladaburian	0.577363371904235	4
AliGebily:balajipro:gardn999:LastEmperor	0.588649569988249	4
AliGebily:balajipro:gardn999:mkagenius	0.587941629685038	4
AliGebily:balajipro:gardn999:mvaudel	0.586123279930043	4
AliGebily:balajipro:gardn999:Ramzes2	0.593591640159738	4
AliGebily:balajipro:gardn999:vladaburian	0.587926170205764	4
AliGebily:balajipro:LastEmperor:mkagenius	0.578644775869448	4
AliGebily:balajipro:LastEmperor:mvaudel	0.573927930245582	4
AliGebily:balajipro:LastEmperor:Ramzes2	0.585968181552115	4
AliGebily:balajipro:LastEmperor:vladaburian	0.579712541709975	4
AliGebily:balajipro:mkagenius:mvaudel	0.57793769923683	4
AliGebily:balajipro:mkagenius:Ramzes2	0.58558020151198	4
AliGebily:balajipro:mkagenius:vladaburian	0.579900419512837	4
AliGebily:balajipro:mvaudel:Ramzes2	0.583874498563019	4
AliGebily:balajipro:mvaudel:vladaburian	0.58064961849197	4
AliGebily:balajipro:Ramzes2:vladaburian	0.586996077729251	4
AliGebily:benchmark:gardn999:LastEmperor	0.584598435996292	4
AliGebily:benchmark:gardn999:mkagenius	0.581925905790792	4
AliGebily:benchmark:gardn999:mvaudel	0.583319823961724	4
AliGebily:benchmark:gardn999:Ramzes2	0.59063149478868	4
AliGebily:benchmark:gardn999:vladaburian	0.583022853499051	4
AliGebily:benchmark:LastEmperor:mkagenius	0.577268402635371	4
AliGebily:benchmark:LastEmperor:mvaudel	0.574171886844313	4
AliGebily:benchmark:LastEmperor:Ramzes2	0.584556058211242	4
AliGebily:benchmark:LastEmperor:vladaburian	0.577934310813746	4
AliGebily:benchmark:mkagenius:mvaudel	0.575864897898642	4
AliGebily:benchmark:mkagenius:Ramzes2	0.581756606320977	4
AliGebily:benchmark:mkagenius:vladaburian	0.577128159471047	4
AliGebily:benchmark:mvaudel:Ramzes2	0.580370300342752	4
AliGebily:benchmark:mvaudel:vladaburian	0.575420934336359	4
AliGebily:benchmark:Ramzes2:vladaburian	0.580163095601658	4
AliGebily:gardn999:LastEmperor:mkagenius	0.588106025585136	4
AliGebily:gardn999:LastEmperor:mvaudel	0.587577354598881	4
AliGebily:gardn999:LastEmperor:Ramzes2	0.594447088507976	4
AliGebily:gardn999:LastEmperor:vladaburian	0.588270626960072	4
AliGebily:gardn999:mkagenius:mvaudel	0.585265782063564	4
AliGebily:gardn999:mkagenius:Ramzes2	0.586970349789793	4
AliGebily:gardn999:mkagenius:vladaburian	0.585016013281235	4
AliGebily:gardn999:mvaudel:Ramzes2	0.592034929715171	4
AliGebily:gardn999:mvaudel:vladaburian	0.587766054986299	4
AliGebily:gardn999:Ramzes2:vladaburian	0.591194748220282	4
AliGebily:LastEmperor:mkagenius:mvaudel	0.578095776545912	4
AliGebily:LastEmperor:mkagenius:Ramzes2	0.58481574975648	4
AliGebily:LastEmperor:mkagenius:vladaburian	0.579411927960468	4
AliGebily:LastEmperor:mvaudel:Ramzes2	0.58660928718201	4
AliGebily:LastEmperor:mvaudel:vladaburian	0.580231244706959	4
AliGebily:LastEmperor:Ramzes2:vladaburian	0.585799191354503	4
AliGebily:mkagenius:mvaudel:Ramzes2	0.585120598986156	4
AliGebily:mkagenius:mvaudel:vladaburian	0.578942196034407	4
AliGebily:mkagenius:Ramzes2:vladaburian	0.583912125243956	4
AliGebily:mvaudel:Ramzes2:vladaburian	0.583972808582022	4
Ardavel:balajipro:benchmark:gardn999	0.584410943872456	4
Ardavel:balajipro:benchmark:LastEmperor	0.583629541026147	4
Ardavel:balajipro:benchmark:mkagenius	0.575267864329372	4
Ardavel:balajipro:benchmark:mvaudel	0.582269059308148	4
Ardavel:balajipro:benchmark:Ramzes2	0.583942105256357	4
Ardavel:balajipro:benchmark:vladaburian	0.58163236127607	4
Ardavel:balajipro:gardn999:LastEmperor	0.58203298793413	4
Ardavel:balajipro:gardn999:mkagenius	0.58957005348688	4
Ardavel:balajipro:gardn999:mvaudel	0.582313664166387	4
Ardavel:balajipro:gardn999:Ramzes2	0.59274206601022	4
Ardavel:balajipro:gardn999:vladaburian	0.583857274400977	4
Ardavel:balajipro:LastEmperor:mkagenius	0.578766686647102	4
Ardavel:balajipro:LastEmperor:mvaudel	0.582341748309369	4
Ardavel:balajipro:LastEmperor:Ramzes2	0.582712868342644	4
Ardavel:balajipro:LastEmperor:vladaburian	0.58341075527823	4
Ardavel:balajipro:mkagenius:mvaudel	0.57513823952045	4
Ardavel:balajipro:mkagenius:Ramzes2	0.585363541769648	4
Ardavel:balajipro:mkagenius:vladaburian	0.577022222137825	4
Ardavel:balajipro:mvaudel:Ramzes2	0.582522050797364	4
Ardavel:balajipro:mvaudel:vladaburian	0.581734087057156	4
Ardavel:balajipro:Ramzes2:vladaburian	0.583792562282318	4
Ardavel:benchmark:gardn999:LastEmperor	0.586420608533145	4
Ardavel:benchmark:gardn999:mkagenius	0.585056626253918	4
Ardavel:benchmark:gardn999:mvaudel	0.583430683681067	4
Ardavel:benchmark:gardn999:Ramzes2	0.592188044970293	4
Ardavel:benchmark:gardn999:vladaburian	0.585845120485014	4
Ardavel:benchmark:LastEmperor:mkagenius	0.578907902441666	4
Ardavel:benchmark:LastEmperor:mvaudel	0.582024326433509	4
Ardavel:benchmark:LastEmperor:Ramzes2	0.584267867805347	4
Ardavel:benchmark:LastEmperor:vladaburian	0.584268044615928	4
Ardavel:benchmark:mkagenius:mvaudel	0.572669132415456	4
Ardavel:benchmark:mkagenius:Ramzes2	0.582995033769098	4
Ardavel:benchmark:mkagenius:vladaburian	0.576831682710732	4
Ardavel:benchmark:mvaudel:Ramzes2	0.579889736561258	4
Ardavel:benchmark:mvaudel:vladaburian	0.581789924956699	4
Ardavel:benchmark:Ramzes2:vladaburian	0.582481447826105	4
Ardavel:gardn999:LastEmperor:mkagenius	0.589305060101697	4
Ardavel:gardn999:LastEmperor:mvaudel	0.582687864610423	4
Ardavel:gardn999:LastEmperor:Ramzes2	0.593335106824085	4
Ardavel:gardn999:LastEmperor:vladaburian	0.585250447934244	4
Ardavel:gardn999:mkagenius:mvaudel	0.585866441893389	4
Ardavel:gardn999:mkagenius:Ramzes2	0.595084521474185	4
Ardavel:gardn999:mkagenius:vladaburian	0.589304928030234	4
Ardavel:gardn999:mvaudel:Ramzes2	0.590064337571008	4
Ardavel:gardn999:mvaudel:vladaburian	0.584953030034938	4
Ardavel:gardn999:Ramzes2:vladaburian	0.593255130721256	4
Ardavel:LastEmperor:mkagenius:mvaudel	0.57668874658416	4
Ardavel:LastEmperor:mkagenius:Ramzes2	0.585255835489107	4
Ardavel:LastEmperor:mkagenius:vladaburian	0.581145116301574	4
Ardavel:LastEmperor:mvaudel:Ramzes2	0.583067505428975	4
Ardavel:LastEmperor:mvaudel:vladaburian	0.583302130018596	4
Ardavel:LastEmperor:Ramzes2:vladaburian	0.585751268131023	4
Ardavel:mkagenius:mvaudel:Ramzes2	0.584349095105632	4
Ardavel:mkagenius:mvaudel:vladaburian	0.575650815846676	4
Ardavel:mkagenius:Ramzes2:vladaburian	0.585908834251553	4
Ardavel:mvaudel:Ramzes2:vladaburian	0.584738173394106	4
balajipro:benchmark:gardn999:LastEmperor	0.57995863136661	4
balajipro:benchmark:gardn999:mkagenius	0.580642159131638	4
balajipro:benchmark:gardn999:mvaudel	0.579844646764682	4
balajipro:benchmark:gardn999:Ramzes2	0.590983760897549	4
balajipro:benchmark:gardn999:vladaburian	0.581706135280876	4
balajipro:benchmark:LastEmperor:mkagenius	0.57220447346804	4
balajipro:benchmark:LastEmperor:mvaudel	0.578213050848713	4
balajipro:benchmark:LastEmperor:Ramzes2	0.57909792981619	4
balajipro:benchmark:LastEmperor:vladaburian	0.578716026194177	4
balajipro:benchmark:mkagenius:mvaudel	0.570897352625014	4
balajipro:benchmark:mkagenius:Ramzes2	0.581503448746915	4
balajipro:benchmark:mkagenius:vladaburian	0.572323036451123	4
balajipro:benchmark:mvaudel:Ramzes2	0.575842572995203	4
balajipro:benchmark:mvaudel:vladaburian	0.577434842503215	4
balajipro:benchmark:Ramzes2:vladaburian	0.580807976628941	4
balajipro:gardn999:LastEmperor:mkagenius	0.587747158693488	4
balajipro:gardn999:LastEmperor:mvaudel	0.576509715582218	4
balajipro:gardn999:LastEmperor:Ramzes2	0.589687877808842	4
balajipro:gardn999:LastEmperor:vladaburian	0.581386439941028	4
balajipro:gardn999:mkagenius:mvaudel	0.584307367489943	4
balajipro:gardn999:mkagenius:Ramzes2	0.592389799639932	4
balajipro:gardn999:mkagenius:vladaburian	0.585489292690715	4
balajipro:gardn999:mvaudel:Ramzes2	0.58774009954652	4
balajipro:gardn999:mvaudel:vladaburian	0.58127872564918	4
balajipro:gardn999:Ramzes2:vladaburian	0.590037774937706	4
balajipro:LastEmperor:mkagenius:mvaudel	0.570842395821851	4
balajipro:LastEmperor:mkagenius:Ramzes2	0.582542958686935	4
balajipro:LastEmperor:mkagenius:vladaburian	0.574027486359747	4
balajipro:LastEmperor:mvaudel:Ramzes2	0.576930159123139	4
balajipro:LastEmperor:mvaudel:vladaburian	0.577962875890633	4
balajipro:LastEmperor:Ramzes2:vladaburian	0.580825408833436	4
balajipro:mkagenius:mvaudel:Ramzes2	0.581044523792607	4
balajipro:mkagenius:mvaudel:vladaburian	0.574777116689031	4
balajipro:mkagenius:Ramzes2:vladaburian	0.582838027937056	4
balajipro:mvaudel:Ramzes2:vladaburian	0.581987141874071	4
benchmark:gardn999:LastEmperor:mkagenius	0.581003525030094	4
benchmark:gardn999:LastEmperor:mvaudel	0.579984888922458	4
benchmark:gardn999:LastEmperor:Ramzes2	0.591162554232997	4
benchmark:gardn999:LastEmperor:vladaburian	0.58217377301306	4
benchmark:gardn999:mkagenius:mvaudel	0.581480232778531	4
benchmark:gardn999:mkagenius:Ramzes2	0.590782026864922	4
benchmark:gardn999:mkagenius:vladaburian	0.58132110862739	4
benchmark:gardn999:mvaudel:Ramzes2	0.588232388364198	4
benchmark:gardn999:mvaudel:vladaburian	0.580447731226367	4
benchmark:gardn999:Ramzes2:vladaburian	0.587235120239648	4
benchmark:LastEmperor:mkagenius:mvaudel	0.572106097164094	4
benchmark:LastEmperor:mkagenius:Ramzes2	0.582140386020818	4
benchmark:LastEmperor:mkagenius:vladaburian	0.575158255645125	4
benchmark:LastEmperor:mvaudel:Ramzes2	0.576910867454682	4
benchmark:LastEmperor:mvaudel:vladaburian	0.577485964156113	4
benchmark:LastEmperor:Ramzes2:vladaburian	0.581196413577473	4
benchmark:mkagenius:mvaudel:Ramzes2	0.578128040278077	4
benchmark:mkagenius:mvaudel:vladaburian	0.571810445236775	4
benchmark:mkagenius:Ramzes2:vladaburian	0.578788127850786	4
benchmark:mvaudel:Ramzes2:vladaburian	0.579243568748545	4
gardn999:LastEmperor:mkagenius:mvaudel	0.583927583648647	4
gardn999:LastEmperor:mkagenius:Ramzes2	0.594243832670578	4
gardn999:LastEmperor:mkagenius:vladaburian	0.586296800790126	4
gardn999:LastEmperor:mvaudel:Ramzes2	0.588971068143497	4
gardn999:LastEmperor:mvaudel:vladaburian	0.581779206033677	4
gardn999:LastEmperor:Ramzes2:vladaburian	0.589862762574372	4
gardn999:mkagenius:mvaudel:Ramzes2	0.590899377159851	4
gardn999:mkagenius:mvaudel:vladaburian	0.583992598338638	4
gardn999:mkagenius:Ramzes2:vladaburian	0.590226532983246	4
gardn999:mvaudel:Ramzes2:vladaburian	0.589238930550184	4
LastEmperor:mkagenius:mvaudel:Ramzes2	0.582005638385098	4
LastEmperor:mkagenius:mvaudel:vladaburian	0.57516801420158	4
LastEmperor:mkagenius:Ramzes2:vladaburian	0.582808103979862	4
LastEmperor:mvaudel:Ramzes2:vladaburian	0.581348722947226	4
mkagenius:mvaudel:Ramzes2:vladaburian	0.581549041803885	4
AliGebily:Ardavel:balajipro:benchmark:gardn999	0.582333627429155	5
AliGebily:Ardavel:balajipro:benchmark:LastEmperor	0.583637450755045	5
AliGebily:Ardavel:balajipro:benchmark:mkagenius	0.571442541384085	5
AliGebily:Ardavel:balajipro:benchmark:mvaudel	0.580346650904711	5
AliGebily:Ardavel:balajipro:benchmark:Ramzes2	0.579898416659039	5
AliGebily:Ardavel:balajipro:benchmark:vladaburian	0.580436186199373	5
AliGebily:Ardavel:balajipro:gardn999:LastEmperor	0.582522099070244	5
AliGebily:Ardavel:balajipro:gardn999:mkagenius	0.590894698112936	5
AliGebily:Ardavel:balajipro:gardn999:mvaudel	0.580592973557231	5
AliGebily:Ardavel:balajipro:gardn999:Ramzes2	0.595345189280453	5
AliGebily:Ardavel:balajipro:gardn999:vladaburian	0.584823532152174	5
AliGebily:Ardavel:balajipro:LastEmperor:mkagenius	0.579013931785333	5
AliGebily:Ardavel:balajipro:LastEmperor:mvaudel	0.577410783109799	5
AliGebily:Ardavel:balajipro:LastEmperor:Ramzes2	0.582702354395614	5
